98,213
161,214
193,211
227,210
162,246
228,246
268,210
264,236
264,254
228,284
233,296
200,322
237,323
166,286
100,287
200,367
226,383
210,400
235,413
194,432
225,432
197,454
241,465
198,488
198,510
220,510
274,510
325,505
325,463
411,498
430,437
315,410
445,410
486,410
445,372
445,354
443,329
429,331
442,313
426,312
442,294
442,266
442,250
442,207
353,255
355,277
332,277
332,299
333,352
325,205
535,206
538,238
544,301
545,326
547,345
548,370
552,408
556,443
560,490
600,487
678,483
604,505
693,517
605,521
563,524
568,602
503,585
503,608
470,611
705,536
722,593
663,597
660,642
655,684
576,676
580,730
478,734
528,678
475,677
338,620
338,596
337,561
334,529
305,621
263,623
341,661
371,698
319,697
335,745
235,749
232,721
229,655
228,628
226,616
224,567
202,579
222,545
106,754
104,520
102,468
102,453
620,203
542,264
